,text,created_at,brand,sent,pos,neg,neu,compound
62,"@moorehn @nytimes 3/ That means they both miss stories, and dismiss those that don't fit their worldview. The cover… https://t.co/TxJMtYXphb",Sun Jul 01 22:02:18 +0000 2018,@NYtimes,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.4039}",0.0,0.171,0.829,-0.4039
63,RT @nytimes: Immigrant families are being charged thousands of dollars in airfare to get children out of federally contracted migrant shelt…,Sun Jul 01 22:02:18 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
64,"RT @nytimes: At least 19 ICE investigators are seeking to dissolve the agency, concerned that the Trump administration's crackdown on illeg…",Sun Jul 01 22:02:17 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
65,"RT @RoArquette: Retweeted The New York Times (@nytimes):

Immigrant families are being charged thousands of dollars in airfare to get child…",Sun Jul 01 22:02:15 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
66,Trump👎called other @GOP candidates ugly names &amp; continues to do same in Ovl Ofc @POTUS UNCIVIL @MSNBCPR… https://t.co/Z7afvBRzq7,Sun Jul 01 22:02:13 +0000 2018,@NYtimes,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.5106}",0.0,0.163,0.837,-0.5106
67,RT @nytimes: Immigrant families are being charged thousands of dollars in airfare to get children out of federally contracted migrant shelt…,Sun Jul 01 22:02:13 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
68,RT @NewKnowledgeAI: @nytimes @WSJ @Joe_America1776 Kris looks like an everyday American who loves fast cars and the Dallas Cowboys. But acc…,Sun Jul 01 22:02:09 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.7351}",0.246,0.0,0.754,0.7351
69,@miscellany101 @chico751 @RSWestmoreland @ProgressiveBroh @stopcollusion @nytimes #StillYourPresident 😂🤣😅 https://t.co/f2Ows09u0t,Sun Jul 01 22:02:09 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
70,RT @nytimes: Confused about the #WorldCup group permutations? Here’s a handy guide as we head into the final round of games.,Sun Jul 01 22:02:07 +0000 2018,@NYtimes,"{'neg': 0.108, 'neu': 0.892, 'pos': 0.0, 'compound': -0.3182}",0.0,0.108,0.892,-0.3182
71,"You must be pretty tired by now. You haven't rested, because you have not fulfilled your promise, @realDonaldTrump.… https://t.co/A8RVlv8TSp",Sun Jul 01 22:02:04 +0000 2018,@NYtimes,"{'neg': 0.283, 'neu': 0.591, 'pos': 0.126, 'compound': -0.4577}",0.126,0.283,0.591,-0.4577
72,@RepLowenthal @nytimes Long Beach residents are being priced out of the housing market.,Sun Jul 01 22:02:04 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
73,RT @nytimes: Immigrant families are being charged thousands of dollars in airfare to get children out of federally contracted migrant shelt…,Sun Jul 01 22:02:01 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
74,"RT @RonaldLWillson: @REDDOG73829268 @tedlieu @realDonaldTrump @nytimes I know, right?!
Spread it wide!
For those interested: https://t.co/H…",Sun Jul 01 22:02:00 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.508}",0.19,0.0,0.81,0.508
75,@nytimes What!!! Taxpayers should fund first-class airfare for these criminals.,Sun Jul 01 22:02:00 +0000 2018,@NYtimes,"{'neg': 0.337, 'neu': 0.663, 'pos': 0.0, 'compound': -0.6784}",0.0,0.337,0.663,-0.6784
76,RT @nytimes: Immigrant families are being charged thousands of dollars in airfare to get children out of federally contracted migrant shelt…,Sun Jul 01 22:01:57 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
77,@Lakrram1 @nytimes No.  Big deal at the time. Rosenstien angry that Trump used him to fire Comey.,Sun Jul 01 22:01:53 +0000 2018,@NYtimes,"{'neg': 0.361, 'neu': 0.639, 'pos': 0.0, 'compound': -0.7845}",0.0,0.361,0.639,-0.7845
78,"RT @NewKnowledgeAI: @nytimes @WSJ @Joe_America1776 And let's not forget ""Kris Crawford,"" a Facebook account PSY-Group used in their pitch t…",Sun Jul 01 22:01:53 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.1695}",0.085,0.0,0.915,0.1695
79,"RT @nytimes: The travel ban covering people from 7 countries, upheld by the Supreme Court, includes provisions for exceptions. But few appl…",Sun Jul 01 22:01:53 +0000 2018,@NYtimes,"{'neg': 0.137, 'neu': 0.725, 'pos': 0.137, 'compound': 0.0}",0.137,0.137,0.725,0.0
80,@nytimes Where are the protests about the 21-23 million American children separated from their parents and families… https://t.co/pQvNk05UxE,Sun Jul 01 22:01:50 +0000 2018,@NYtimes,"{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.2263}",0.0,0.101,0.899,-0.2263
81,RT @spooney35: @amjoyshow #AMJoy @MeetThePress @ThisWeekABC @CNN @cspanwj @ReliableSources @FareedZakaria @FoxNewsSunday @60Minutes #MTP @F…,Sun Jul 01 22:01:48 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
82,RT @Justice4pr: @nytimes Trafficking the american way. Parents have to buy theres kida back from kidnappers,Sun Jul 01 22:01:44 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
83,"@nytimes Conservative FoxNews viewers are pathetic, paranoid pansies afraid of whatever Trump and the GOP tells the… https://t.co/iic6QscSx3",Sun Jul 01 22:01:42 +0000 2018,@NYtimes,"{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.6908}",0.0,0.263,0.737,-0.6908
